Item,Reference(s),Qty,Manufacturer,MPN,Value,Package,Type,Notes
1,"C1, C4, C9, C14, C15, C16, C18",7,Samsung Electro-Mechanics,CL10B104KB8NNNC,100nF,0603,SMD,Propose cheaper
2,"C2, C3, C5",3,Taiyo Yuden,JMK107ABJ106MA-T,10uF,0603,SMD,Propose cheaper
3,"C6, C8, C11, C12, C13, C17",6,Samsung Electro-Mechanics,CL10B105KQ8NNNC,1uF,0603,SMD,Propose cheaper
4,D1,1,Rohm Semiconductor,SML-D12V1WT86,Red,0603,SMD,Propose cheaper
5,D2,1,Rohm Semiconductor,SML-D12M8WT86,Green,0603,SMD,Propose cheaper
6,D3,1,Rohm Semiconductor,SML-D12D1WT86,Orange,0603,SMD,Propose cheaper
7,J1,1,Amphenol ICC (FCI),10118194-0011LF,10118194-0001LF,,SMD,Propose cheaper
8,J3,1,Molex,503182-1852,503182-1852,,SMD,Propose cheaper
9,MOD1,1,"Rigado, Inc.",BMD-300-A-R,BMD-300-A-R,,SMD,Do not change
10,"R1, R2",2,Vishay / Dale,CRCW060310M0FKEAC,10M,0603,SMD,Propose cheaper
11,R4,1,Vishay / Dale,CRCW06031K00FKEAC,1k,0603,SMD,Propose cheaper
12,R5,1,Vishay / Dale,CRCW06032K00FKEAC,2k,0603,SMD,Propose cheaper
13,R6,1,Vishay / Dale,CRCW06033K00FKEAC,3k,0603,SMD,Propose cheaper
14,SW1,1,C&K Switches,PCM12SMTR,OFF - ON,,SMD,Propose cheaper
15,SW2,1,C&K Switches,PCM13SMTR,"OFF-0,7k-HI",,SMD,Propose cheaper
16,U1,1,Nanjing Extension Microelectronics,TP4057-42-SOT26-R,TP4057,SOT-23-6,SMD,Do not change
17,"U2, U7",2,STMicroelectronics,MP34DT05TR-A,MP34DT05-A,HCLGA (3 x 4 x 1 mm) 4LD,SMD,Do not change
18,U4,1,Diodes Incorporated,AP7345D-3318RH4-7,AP7345D,X2-DFN1612-8,SMD,Do not change
19,U5,1,TDK,ICM-20948,ICM-20948,24-Pin QFN,SMD,Do not change
20,U6,1,NXP,"NTS0104BQ,115",NTS0104,DHVQFN14 (SOT762-1),SMD,Do not change
,,,,,,,,
21,"J4, J5",1,Link to aliexpress,503035,3.7V 500mAH Li-ion/Li-Po Rechargeable battery,,Through hole,Any of same type/price
